branch,block_length,probability,unsigned_weight,negative_mass,physical_rate,support_rate,sign_cost,surviving_fraction,minimum_wigner,maximum_wigner,time,n_sites,block_start,cumulative_discarded_weight,maximum_bond,identity_A_minus_P_minus_2nu,identity_r_minus_s_minus_q
initial,5,0.0786150039640996,0.0786150039640996,0.0,0.5086385415271371,0.5086385415271371,0.0,1.0,8.565822756691872e-05,0.003954088505209745,0.4,50,22,3.3253556930226336e-16,15,0.0,0.0
branch1,5,0.002300423827562183,0.04122412743875526,0.01946185180559654,1.2149323800340133,0.6377463153176242,0.5771860647163892,0.05580285067233537,-0.0003360261787725254,0.0005653788756812416,0.4,50,22,3.3253556930226336e-16,15,0.0,-1.1102230246251565e-16
branch2,5,0.0023004238275622126,0.04122412743875532,0.01946185180559656,1.2149323800340108,0.6377463153176238,0.577186064716387,0.055802850672336,-0.0003360261787725211,0.0005653788756812382,0.4,50,22,3.3253556930226336e-16,15,-6.938893903907228e-18,0.0
competing,5,0.004600847655124396,0.08244825487751059,0.0389237036111931,1.0763029439220229,0.49911687920563486,0.5771860647163881,0.05580285067233568,-0.0003360261787725254,0.0005653788756812416,0.4,50,22,3.3253556930226336e-16,15,0.0,-1.1102230246251565e-16
initial,6,0.048730347116465005,0.048730347116465005,0.0,0.5035755498153309,0.5035755498153309,0.0,1.0,1.4346535503549936e-05,0.0013180295017278412,0.4,50,22,3.3253556930226336e-16,15,0.0,0.0
branch1,6,0.0007024339779486958,0.022518532759297546,0.010908049390674426,1.210159857123435,0.6322361051029138,0.5779237520205213,0.031193594425403755,-8.407454447682408e-05,0.00014102285121416413,0.4,50,22,3.3253556930226336e-16,15,-3.469446951953614e-18,0.0
branch2,6,0.0007024339779486996,0.022518532759297587,0.010908049390674444,1.2101598571234342,0.6322361051029135,0.5779237520205206,0.031193594425403866,-8.407454447682385e-05,0.0001410228512141629,0.4,50,22,3.3253556930226336e-16,15,0.0,1.1102230246251565e-16
competing,6,0.0014048679558973953,0.04503706551859513,0.02181609878134887,1.0946353270301103,0.5167115750095895,0.5779237520205209,0.03119359442540381,-8.407454447682408e-05,0.00014102285121416413,0.4,50,22,3.3253556930226336e-16,15,0.0,-1.1102230246251565e-16
initial,7,0.03020663511849988,0.03020663511849988,0.0,0.4999562389746472,0.4999562389746472,0.0,1.0,2.4238765140182785e-06,0.000439343167242806,0.4,50,21,3.3253556930226336e-16,15,0.0,0.0
branch1,7,0.00021447962363830848,0.012301249141712985,0.006043384759037339,1.2067565455430977,0.6282934950747746,0.5784630504683231,0.017435597081845753,-2.103420271278009e-05,3.084763354766987e-05,0.4,50,21,3.3253556930226336e-16,15,0.0,0.0
branch2,7,0.00021447962363831076,0.012301249141713018,0.006043384759037354,1.2067565455430962,0.6282934950747743,0.578463050468322,0.01743559708184589,-2.1034202712779863e-05,3.084763354766972e-05,0.4,50,21,3.3253556930226336e-16,15,-1.734723475976807e-18,-1.1102230246251565e-16
competing,7,0.00042895924727661924,0.024602498283426005,0.012086769518074693,1.1077355197488192,0.5292724692804965,0.5784630504683225,0.01743559708184582,-2.103420271278009e-05,3.084763354766987e-05,0.4,50,21,3.3253556930226336e-16,15,0.0,2.220446049250313e-16
initial,8,0.018724262831750986,0.018724262831750986,0.0,0.49724188981057343,0.49724188981057343,0.0,1.0,4.0829265352765865e-07,0.00014644772241424235,0.4,50,21,3.3253556930226336e-16,15,0.0,0.0
branch1,8,6.54824624339941e-05,0.006719821759325526,0.0033271696484457663,1.204216025034198,0.625336706088592,0.5788793189456061,0.009744672519493527,-4.4233455178980585e-06,7.404986966914998e-06,0.4,50,21,3.3253556930226336e-16,15,-8.673617379884035e-19,-1.1102230246251565e-16
branch2,8,6.54824624339942e-05,0.006719821759325544,0.003327169648445775,1.2042160250341978,0.6253367060885917,0.5788793189456062,0.009744672519493515,-4.423345517898054e-06,7.4049869669149275e-06,0.4,50,21,3.3253556930226336e-16,15,0.0,-1.1102230246251565e-16
competing,8,0.0001309649248679883,0.013439643518651071,0.006654339296891541,1.1175726274642048,0.5386933085185986,0.5788793189456061,0.009744672519493522,-4.4233455178980585e-06,7.404986966914998e-06,0.4,50,21,3.3253556930226336e-16,15,0.0,1.1102230246251565e-16
initial,9,0.011606652850390307,0.011606652850390307,0.0,0.4951307581872329,0.4951307581872329,0.0,1.0,6.866428361510534e-08,4.881590747142949e-05,0.4,50,20,3.3253556930226336e-16,15,0.0,0.0
branch1,9,1.999220796148162e-05,0.0036708400206130827,0.0018254239063258003,1.2022408846945278,0.6230371949617991,0.5792036897327288,0.005446221532188329,-1.106653156947809e-06,1.8470389513535164e-06,0.4,50,20,3.3253556930226336e-16,15,4.336808689942018e-19,-1.1102230246251565e-16
branch2,9,1.9992207961481956e-05,0.00367084002061309,0.001825423906325804,1.202240884694526,0.6230371949617989,0.5792036897327271,0.005446221532188409,-1.1066531569477998e-06,1.8470389513535014e-06,0.4,50,20,3.3253556930226336e-16,15,0.0,1.1102230246251565e-16
competing,9,3.998441592296358e-05,0.007341680041226173,0.0036508478126516045,1.1252245312989775,0.5460208415662495,0.579203689732728,0.005446221532188369,-1.106653156947809e-06,1.8470389513535164e-06,0.4,50,20,3.3253556930226336e-16,15,8.673617379884035e-19,0.0
initial,4,0.11381028769001339,0.11381028769001339,0.0,0.5433055899704772,0.5433055899704772,0.0,1.0,0.00045356463517922437,0.011744478022095406,0.42000000000000004,50,23,3.560721918800742e-16,16,0.0,0.0
