time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.0,50,0.02,48,1e-10,1.0,0.0,0.0,0.0,1.0,-0.0,inf,inf,14.16792837064528,-0.0,-0.0,-inf,-14.16792837064528,0.0,1.0,1.0,0.0,1
0.02,50,0.02,48,1e-10,0.9141276764827512,4.982577730737258e-153,4.982577730737258e-153,9.965155461474516e-153,0.9141276764827512,0.0017957005495525,7.013791437087116,7.013791437087116,6.999928493475917,0.0017957005495525,0.0017957005495525,-7.011995736537564,-6.998132792926365,0.0,0.9973090943058484,0.9999999999999986,9.110883859028108e-45,3
0.04,50,0.02,48,1e-10,0.6985473126226419,5.901234305295547e-123,5.9012343052965526e-123,1.1802468610592099e-122,0.6985473126226419,0.00717504735945,5.628856098098975,5.628856098098972,5.614993154487775,0.00717504735945,0.00717504735945,-5.621681050739523,-5.607818107128325,1.705300601283386e-13,0.9892772688057124,1.0000000000000024,2.0723516830095362e-19,3
0.06,50,0.02,48,1e-10,0.446776769725362,2.2038867999242374e-105,2.2038867999242374e-105,4.4077735998484755e-105,0.446776769725362,0.0161139241139226,4.8196242447119815,4.8196242447119815,4.805761301100782,0.0161139241139226,0.0161139241139226,-4.8035103205980585,-4.789647376986859,0.0,0.976025877629568,1.0000000000000009,2.0763584803236998e-19,5
0.08,50,0.02,48,1e-10,0.2396770485435586,6.117187985242398e-93,6.11718798524205e-93,1.2234375970484448e-92,0.2396770485435586,0.0285692578576629,4.246586222741013,4.246586222741014,4.232723279129814,0.0285692578576629,0.0285692578576629,-4.218016964883351,-4.204154021272151,5.6798895797037876e-14,0.9577528493699684,1.0000000000000162,3.886914528595566e-19,5
0.1,50,0.02,48,1e-10,0.108204919830138,2.5831999210662068e-83,2.5831999210662068e-83,5.1663998421324136e-83,0.108204919830138,0.0444745688764802,3.803310676172009,3.803310676172009,3.78944773256081,0.0444745688764802,0.0444745688764802,-3.758836107295529,-3.74497316368433,0.0,0.9347264473492576,1.0000000000000002,8.406762067143179e-19,7
0.12,50,0.02,48,1e-10,0.0413089766745638,1.7748909616356371e-75,1.7748909616356371e-75,3.5497819232712743e-75,0.0413089766745638,0.0637335089947571,3.442402859671548,3.442402859671548,3.4285399160603487,0.0637335089947571,0.0637335089947571,-3.37866935067679,-3.364806407065592,0.0,0.9072770201462984,0.9999999999999872,9.918284613065237e-19,9
0.14,50,0.02,48,1e-10,0.0134259999608332,7.017779136919422e-69,7.017779136919422e-69,1.4035558273838843e-68,0.0134259999608332,0.0862112431276561,3.1385984922173344,3.1385984922173344,3.1247355486061354,0.0862112431276561,0.0862112431276561,-3.052387249089678,-3.038524305478479,0.0,0.8757871852687881,0.9999999999999958,9.93014258100505e-19,9
0.16,50,0.02,48,1e-10,0.0037493143667841,3.3909063426752923e-63,3.390906342675003e-63,6.781812685350295e-63,0.0037493143667841,0.1117236458248097,2.876835272304898,2.8768352723049,2.8629723286937003,0.1117236458248097,0.1117236458248097,-2.765111626480089,-2.7512486828688907,8.53198576895582e-14,0.8406809577027455,1.0000000000000149,1.0151580724645402e-18,9
0.18,50,0.02,48,1e-10,0.0009107619649643,3.251671409057421e-58,3.2516714090573284e-58,6.503342818114749e-58,0.0009107619649643,0.1400245796935403,2.64741532499599,2.647415324995991,2.633552381384792,0.1400245796935403,0.1400245796935403,-2.5073907453024504,-2.493527801691252,2.8502023702091684e-14,0.8024123674480937,1.0000000000000009,1.2959728679031094e-18,9
