time,n_sites,final_field,prob_up,prob_down,return_echo,rate_up,rate_down,rate_total,rate_lower_envelope,delta_rate,magnetization_z
2.172,400,0.7,9.334347418436072e-29,3.4087219253880016e-07,3.4087219253880016e-07,0.16135316707311784,0.03722939557964425,0.03722939557964425,0.03722939557964425,0.12412377149347359,-0.7815262569954056
2.176,400,0.7,7.915520534411992e-29,4.4997356515188456e-07,4.4997356515188456e-07,0.16176535560024058,0.03653519250003618,0.03653519250003618,0.03653519250003618,0.1252301631002044,-0.7844985728657144
2.18,400,0.7,5.037021154828867e-29,5.919182117043028e-07,5.919182117043028e-07,0.16289538207546503,0.035849743418779265,0.035849743418779265,0.035849743418779265,0.12704563865668578,-0.7874550431992833
2.184,400,0.7,7.364685933754142e-29,7.759352057011214e-07,7.759352057011214e-07,0.16194567822724193,0.0351729920451429,0.0351729920451429,0.0351729920451429,0.12677268618209903,-0.790395497348014
2.188,400,0.7,6.217673011347615e-29,1.0136499916406215e-06,1.0136499916406215e-06,0.16236892993501392,0.034504882220697544,0.034504882220697544,0.034504882220697544,0.12786404771431636,-0.7933197644315422
2.192,400,0.7,1.2923060402609514e-28,1.3196511083316006e-06,1.3196511083316006e-06,0.1605398858831398,0.033845357920431335,0.033845357920431335,0.033845357920431335,0.12669452796270847,-0.7962276733639123
2.196,400,0.7,6.880212725964493e-29,1.7121763082618474e-06,1.7121763082618474e-06,0.16211579531472123,0.03319436325437346,0.03319436325437346,0.03319436325437346,0.12892143206034778,-0.7991190528805533
2.2,400,0.7,4.4934489641451587e-29,2.213939638435467e-06,2.213939638435467e-06,0.16318086786620548,0.032551842469071925,0.032551842469071925,0.032551842469071925,0.13062902539713356,-0.8019937315655414
2.204,400,0.7,1.0405545653491336e-28,2.8531241257336246e-06,2.8531241257336246e-06,0.1610815719922178,0.03191773994896816,0.03191773994896816,0.03191773994896816,0.12916383204324963,-0.8048515378791481
2.208,400,0.7,6.20595303027719e-29,3.664568051853265e-06,3.664568051853265e-06,0.16237364674816807,0.03129200021795768,0.03129200021795768,0.03129200021795768,0.13108164653021037,-0.8076923001856614
2.212,400,0.7,8.543513456525744e-29,4.691176395741089e-06,4.691176395741089e-06,0.16157448840465577,0.030674567940776037,0.030674567940776037,0.030674567940776037,0.13089992046387974,-0.8105158467814887
2.216,400,0.7,7.584304474985337e-29,5.985592838559203e-06,5.985592838559203e-06,0.1618722169641559,0.030065387924495444,0.030065387924495444,0.030065387924495444,0.13180682903966046,-0.813322005923511
2.22,400,0.7,6.510431908884076e-29,7.612171732626755e-06,7.612171732626755e-06,0.16225390474339224,0.029464405120022207,0.029464405120022207,0.029464405120022207,0.13278949962337003,-0.8161106058577079
2.224,400,0.7,1.0442377692738097e-28,9.64929358023225e-06,9.64929358023225e-06,0.16107273847989248,0.028871564623534858,0.028871564623534858,0.028871564623534858,0.13220117385635763,-0.8188814748480286
2.228,400,0.7,5.461541371997121e-29,1.219207178471837e-05,1.219207178471837e-05,0.16269309161086704,0.0282868116779578,0.0282868116779578,0.0282868116779578,0.13440627993290924,-0.8216344412055085
